name,target,version,median,min,max,accuracy
Zig,zig,0.15.2,226.31,224.54,228.05,9.4967
C (clang),c-clang,21.1.2,232.94,226.62,235.55,9.4967
D (LDC),d-ldc,1.41.0,231.28,231.23,232.51,9.4967
D (GDC),d,15.2.0,232.98,232.35,234.29,9.4992
C++ (g++),cpp,15.2.0,233.82,233.52,234.6,9.4992
C++ (clang++),cpp-clang,21.1.2,236.17,234.56,236.68,9.4967
Rust (nightly),rust-nightly,1.94.0,237.92,237.68,238.8,9.4952
C# (SIMD),cs-simd,10.0.101,240.56,238.69,241.23,9.4946
C (gcc),c,15.2.0,240.76,240.73,240.9,9.4992
Fortran 90,fortran,14.2.0,242.98,241.66,244.61,9.4402
C++ (avx2),cpp-avx2,15.2.0,244.07,243.46,246.42,9.4973
Nim,nim,2.2.0,245.45,245.37,248.22,9.4951
Julia,julia,1.12.4,255.6,253.26,256.97,9.4976
Swift (SIMD),swift-simd,6.2.3,527.38,521.22,530.71,8.6928
Rust,rust,1.92.0,617.91,617.38,619.59,9.4979
Objective-C,objc,21.1.2,914.79,904.87,916.36,9.4964
Swift,swift,6.2.3,910.05,908.4,915.92,9.4964
Deno (TypeScript),deno,2.6.4,922.22,912.36,931.42,9.4979
Pascal (FPC),pascal,3.2.2,932.97,927.52,943.03,9.4979
Swift (relaxed),swift-relaxed,6.2.3,937.21,935.48,945.21,9.4979
Ada (gnat-gcc),ada,15.2.0,947.13,942.03,948.22,9.4964
Crystal,crystal,1.18.2,961.48,947.14,964.75,9.4964
LuaJIT,luajit,2.1.1723681758,955.38,949.6,967.11,9.4964
V,v,0.4.12,951.33,950.68,952.96,9.4979
Common Lisp (SBCL),sbcl,2.5.11,955.9,952.42,958.57,9.4979
Odin,odin,2025,955.01,952.44,966.25,9.4979
WASM (C via Wasmtime),wasm,39.0.1,958.86,955.27,963.46,9.4979
Javascript (bun),bunjs,1.3.5,957.9,957.32,962.97,9.4979
Dart (AOT),dart-aot,3.10.7,959.22,958.75,1039.44,9.4979
Javascript (nodejs),nodejs,25.2.1,959.31,958.8,969.71,9.4979
Scala,scala,3.7.4,965.82,961.02,966.19,9.4979
Pony,pony,0.58.0,977.03,975.08,977.76,9.4979
OCaml,ocaml,5.4.0,990.76,979.16,994.23,9.4971
Haxe (C++),haxe,4.3.6,981.83,981.23,983.97,9.4964
Nature,nature,0.7.2,987.43,986.03,987.83,9.4964
Kotlin,kotlin,2.2.21,989.7,987.24,991.63,9.4979
Pony(nightly),pony-nightly,20231205,996.01,988.06,998.37,9.4979
Haskell (GHC),haskell,9.10.3,997.36,996.27,1002.4,9.4979
Go,go,1.25.5,997.05,996.68,997.21,9.4964
F#,fs,10.0.101,1029.99,1010.44,1037.37,9.4979
C#,cs,10.0.101,1028.6,1026.27,1041.7,9.4979
Java (Vec Ops),java-vecops,25.0.1,1037.0,1030.19,1090.21,9.4986
Python (PyPy),pypy,3.11.13,1070.29,1067.67,1077.07,9.4964
Racket,racket,9.0,1094.09,1088.33,1115.22,9.4964
Java graalvm,java-graalvm,25.0.1,1166.6,1159.75,1170.44,9.4964
Python (NumPy),cpython-numpy,3.13.11,1985.94,1888.46,2834.67,9.4971
Java,java,25.0.1,1973.4,1957.32,1976.08,9.4964
Groovy,groovy,5.0.3,2584.7,2577.45,2584.99,9.4964
Python (MyPyC),mypyc,1.19.1,2667.94,2667.63,2683.68,9.4979
Clojure,clj,1.12.4.1582,2756.33,2729.06,2806.92,9.4979
R,r,4.5.2,3140.03,3078.97,3270.67,9.4971
Dart (JIT),dart,3.10.7,3409.55,3398.45,3415.01,9.4979
PHP,php,8.4.16,8188.16,8139.44,8243.17,9.4964
Elixir,elixir,15.2.7.4,9877.89,9861.7,9932.07,9.4964
Erlang,erlang,28.3,12297.07,11924.08,12761.43,9.4964
Lua,lua,5.4.8,12963.42,12658.36,15154.76,9.4964
Janet (compiled),janet-compiled,1.40.1,17159.69,17084.38,17306.83,9.4964
Ruby,ruby,3.4.8,33720.35,33678.13,34463.21,9.4964
Janet,janet,1.40.1,45136.53,44300.48,45233.99,9.4964
Raku,raku,2025.12,74604.37,70137.03,75078.55,9.4964
Perl,perl,5,98342.79,89876.18,99107.54,9.4964
Python (CPython),cpython,3.14.2,123933.56,111614.31,138415.31,9.4964
